"STATION_NUMBER","Date","Parameter","Value","Symbol"
"04LG004",1983-06-29,"Flow",680,"E"
"04LG004",1983-06-30,"Flow",700,"E"
"04LG004",1983-07-01,"Flow",675,"E"
"04LG004",1983-07-02,"Flow",670,"E"
"04LG004",1983-07-03,"Flow",710,"E"
"04LG004",1983-07-04,"Flow",725,"E"
"04LG004",1983-07-05,"Flow",720,"E"
"04LG004",1983-07-06,"Flow",715,"E"
"04LG004",1983-07-07,"Flow",710,"E"
"04LG004",1983-07-08,"Flow",545,"E"
"04LG004",1983-07-09,"Flow",545,"E"
"04LG004",1983-07-10,"Flow",460,"E"
"04LG004",1983-07-11,"Flow",370,"E"
"04LG004",1983-07-12,"Flow",520,"E"
"04LG004",1983-07-13,"Flow",595,"E"
"04LG004",1983-07-14,"Flow",600,"E"
"04LG004",1983-07-15,"Flow",530,"E"
"04LG004",1983-07-16,"Flow",510,"E"
"04LG004",1983-07-17,"Flow",465,"E"
"04LG004",1983-07-18,"Flow",445,"E"
"04LG004",1983-07-19,"Flow",420,"E"
"04LG004",1983-07-20,"Flow",400,"E"
"04LG004",1983-07-21,"Flow",410,"E"
"04LG004",1983-07-22,"Flow",360,"E"
"04LG004",1983-07-23,"Flow",340,"E"
"04LG004",1983-07-24,"Flow",320,"E"
"04LG004",1983-07-25,"Flow",325,"E"
"04LG004",1983-07-26,"Flow",315,"E"
"04LG004",1983-07-27,"Flow",315,"E"
"04LG004",1983-07-28,"Flow",305,"E"
"04LG004",1983-07-29,"Flow",310,"E"
"04LG004",1983-07-30,"Flow",305,"E"
"04LG004",1983-07-31,"Flow",270,"E"
"04LG004",1983-08-01,"Flow",205,"E"
"04LG004",1983-08-02,"Flow",218,"E"
"04LG004",1983-08-03,"Flow",190,"E"
"04LG004",1983-08-04,"Flow",232,"E"
"04LG004",1983-08-05,"Flow",230,"E"
"04LG004",1983-08-06,"Flow",235,"E"
"04LG004",1983-08-07,"Flow",202,NA
"04LG004",1983-08-08,"Flow",219,NA
"04LG004",1983-08-09,"Flow",229,NA
"04LG004",1983-08-10,"Flow",215,NA
"04LG004",1983-08-11,"Flow",241,NA
"04LG004",1983-08-12,"Flow",225,NA
"04LG004",1983-08-13,"Flow",262,NA
"04LG004",1983-08-14,"Flow",228,NA
"04LG004",1983-08-15,"Flow",181,NA
"04LG004",1983-08-16,"Flow",193,NA
"04LG004",1983-08-17,"Flow",197,NA
"04LG004",1983-08-18,"Flow",175,NA
"04LG004",1983-08-19,"Flow",172,NA
"04LG004",1983-08-20,"Flow",175,NA
"04LG004",1983-08-21,"Flow",153,NA
"04LG004",1983-08-22,"Flow",145,NA
"04LG004",1983-08-23,"Flow",185,NA
"04LG004",1983-08-24,"Flow",155,NA
"04LG004",1983-08-25,"Flow",158,NA
"04LG004",1983-08-26,"Flow",169,NA
"04LG004",1983-08-27,"Flow",161,NA
"04LG004",1983-08-28,"Flow",168,NA
"04LG004",1983-08-29,"Flow",159,NA
"04LG004",1983-08-30,"Flow",164,NA
"04LG004",1983-08-31,"Flow",150,NA
"04LG004",1983-09-01,"Flow",159,NA
"04LG004",1983-09-02,"Flow",147,NA
"04LG004",1983-09-03,"Flow",134,NA
"04LG004",1983-09-04,"Flow",169,NA
"04LG004",1983-09-05,"Flow",145,NA
"04LG004",1983-09-06,"Flow",124,NA
"04LG004",1983-09-07,"Flow",170,NA
"04LG004",1983-09-08,"Flow",231,NA
"04LG004",1983-09-09,"Flow",396,NA
"04LG004",1983-09-10,"Flow",610,NA
"04LG004",1983-09-11,"Flow",762,NA
"04LG004",1983-09-12,"Flow",1080,NA
"04LG004",1983-09-13,"Flow",1060,NA
"04LG004",1983-09-14,"Flow",987,NA
"04LG004",1983-09-15,"Flow",888,NA
"04LG004",1983-09-16,"Flow",845,NA
"04LG004",1983-09-17,"Flow",808,NA
"04LG004",1983-09-18,"Flow",766,NA
"04LG004",1983-09-19,"Flow",632,NA
"04LG004",1983-09-20,"Flow",624,NA
"04LG004",1983-09-21,"Flow",599,NA
"04LG004",1983-09-22,"Flow",578,NA
"04LG004",1983-09-23,"Flow",458,NA
"04LG004",1983-09-24,"Flow",486,NA
"04LG004",1983-09-25,"Flow",461,NA
"04LG004",1983-09-26,"Flow",487,NA
"04LG004",1983-09-27,"Flow",461,NA
"04LG004",1983-09-28,"Flow",372,NA
"04LG004",1983-09-29,"Flow",440,NA
"04LG004",1983-09-30,"Flow",409,NA
"04LG004",1983-10-01,"Flow",404,NA
"04LG004",1983-10-02,"Flow",408,NA
"04LG004",1983-10-03,"Flow",513,NA
"04LG004",1983-10-04,"Flow",492,NA
"04LG004",1983-10-05,"Flow",497,NA
"04LG004",1983-10-06,"Flow",471,NA
"04LG004",1983-10-07,"Flow",452,NA
"04LG004",1983-10-08,"Flow",457,NA
"04LG004",1983-10-09,"Flow",634,NA
"04LG004",1983-10-10,"Flow",611,NA
"04LG004",1983-10-11,"Flow",597,NA
"04LG004",1983-10-12,"Flow",522,NA
"04LG004",1983-10-13,"Flow",442,NA
"04LG004",1983-10-14,"Flow",504,NA
"04LG004",1983-10-15,"Flow",815,NA
"04LG004",1983-10-16,"Flow",1290,NA
"04LG004",1983-10-17,"Flow",1530,NA
"04LG004",1983-10-18,"Flow",1550,NA
"04LG004",1983-10-19,"Flow",1450,NA
"04LG004",1983-10-20,"Flow",1480,NA
"04LG004",1983-10-21,"Flow",1290,NA
"04LG004",1983-10-22,"Flow",1110,NA
"04LG004",1983-10-23,"Flow",1040,NA
"04LG004",1983-10-24,"Flow",971,NA
"04LG004",1983-10-25,"Flow",902,NA
"04LG004",1983-10-26,"Flow",872,NA
"04LG004",1983-10-27,"Flow",795,NA
"04LG004",1983-10-28,"Flow",737,NA
"04LG004",1983-10-29,"Flow",718,NA
"04LG004",1983-10-30,"Flow",700,NA
"04LG004",1983-10-31,"Flow",682,NA
"04LG004",1983-11-01,"Flow",739,NA
"04LG004",1983-11-02,"Flow",753,NA
"04LG004",1983-11-03,"Flow",687,NA
"04LG004",1983-11-04,"Flow",609,NA
"04LG004",1983-11-05,"Flow",569,NA
"04LG004",1983-11-06,"Flow",552,NA
"04LG004",1983-11-07,"Flow",524,NA
"04LG004",1983-11-08,"Flow",535,NA
"04LG004",1983-11-09,"Flow",500,NA
"04LG004",1983-11-10,"Flow",515,NA
"04LG004",1983-11-11,"Flow",447,NA
"04LG004",1983-11-12,"Flow",511,NA
"04LG004",1983-11-13,"Flow",380,"B"
"04LG004",1983-11-14,"Flow",355,"B"
"04LG004",1983-11-15,"Flow",382,"B"
"04LG004",1983-11-16,"Flow",383,"B"
"04LG004",1983-11-17,"Flow",358,"B"
"04LG004",1983-11-18,"Flow",385,"B"
"04LG004",1983-11-19,"Flow",345,"B"
"04LG004",1983-11-20,"Flow",303,"B"
"04LG004",1983-11-21,"Flow",290,"B"
"04LG004",1983-11-22,"Flow",304,"B"
"04LG004",1983-11-23,"Flow",312,"B"
"04LG004",1983-11-24,"Flow",219,"B"
"04LG004",1983-11-25,"Flow",325,"B"
"04LG004",1983-11-26,"Flow",395,"B"
"04LG004",1983-11-27,"Flow",353,"B"
"04LG004",1983-11-28,"Flow",390,"B"
"04LG004",1983-11-29,"Flow",390,"B"
"04LG004",1983-11-30,"Flow",360,"B"
"04LG004",1983-12-01,"Flow",400,"B"
"04LG004",1983-12-02,"Flow",400,"B"
"04LG004",1983-12-03,"Flow",400,"B"
"04LG004",1983-12-04,"Flow",398,"B"
"04LG004",1983-12-05,"Flow",397,"B"
"04LG004",1983-12-06,"Flow",395,"B"
"04LG004",1983-12-07,"Flow",392,"B"
"04LG004",1983-12-08,"Flow",389,"B"
"04LG004",1983-12-09,"Flow",372,"B"
"04LG004",1983-12-10,"Flow",348,"B"
"04LG004",1983-12-11,"Flow",318,"B"
"04LG004",1983-12-12,"Flow",300,"B"
"04LG004",1983-12-13,"Flow",318,"B"
"04LG004",1983-12-14,"Flow",319,"B"
"04LG004",1983-12-15,"Flow",295,"B"
"04LG004",1983-12-16,"Flow",292,"B"
"04LG004",1983-12-17,"Flow",297,"B"
"04LG004",1983-12-18,"Flow",290,"B"
"04LG004",1983-12-19,"Flow",270,"B"
"04LG004",1983-12-20,"Flow",305,"B"
"04LG004",1983-12-21,"Flow",283,"B"
"04LG004",1983-12-22,"Flow",277,"B"
"04LG004",1983-12-23,"Flow",279,"B"
"04LG004",1983-12-24,"Flow",280,"B"
"04LG004",1983-12-25,"Flow",214,"B"
"04LG004",1983-12-26,"Flow",121,"B"
"04LG004",1983-12-27,"Flow",150,"B"
"04LG004",1983-12-28,"Flow",230,"B"
"04LG004",1983-12-29,"Flow",248,"B"
"04LG004",1983-12-30,"Flow",226,"B"
"04LG004",1983-12-31,"Flow",232,"B"
"04LG004",1984-01-01,"Flow",207,"B"
"04LG004",1984-01-02,"Flow",271,"B"
"04LG004",1984-01-03,"Flow",350,"B"
"04LG004",1984-01-04,"Flow",330,"B"
"04LG004",1984-01-05,"Flow",270,"B"
"04LG004",1984-01-06,"Flow",265,"B"
"04LG004",1984-01-07,"Flow",270,"B"
"04LG004",1984-01-08,"Flow",268,"B"
"04LG004",1984-01-09,"Flow",240,"B"
"04LG004",1984-01-10,"Flow",245,"B"
"04LG004",1984-01-11,"Flow",340,"B"
"04LG004",1984-01-12,"Flow",340,"B"
"04LG004",1984-01-13,"Flow",290,"B"
"04LG004",1984-01-14,"Flow",350,"B"
"04LG004",1984-01-15,"Flow",340,"B"
"04LG004",1984-01-16,"Flow",300,"B"
"04LG004",1984-01-17,"Flow",345,"B"
"04LG004",1984-01-18,"Flow",315,"B"
"04LG004",1984-01-19,"Flow",265,"B"
"04LG004",1984-01-20,"Flow",265,"B"
"04LG004",1984-01-21,"Flow",262,"B"
"04LG004",1984-01-22,"Flow",257,"B"
"04LG004",1984-01-23,"Flow",267,"B"
"04LG004",1984-01-24,"Flow",253,"B"
"04LG004",1984-01-25,"Flow",283,"B"
"04LG004",1984-01-26,"Flow",264,"B"
"04LG004",1984-01-27,"Flow",263,"B"
"04LG004",1984-01-28,"Flow",270,"B"
"04LG004",1984-01-29,"Flow",258,"B"
"04LG004",1984-01-30,"Flow",260,"B"
"04LG004",1984-01-31,"Flow",255,"B"
"04LG004",1984-02-01,"Flow",252,"B"
"04LG004",1984-02-02,"Flow",255,"B"
"04LG004",1984-02-03,"Flow",250,"B"
"04LG004",1984-02-04,"Flow",248,"B"
"04LG004",1984-02-05,"Flow",232,"B"
"04LG004",1984-02-06,"Flow",242,"B"
"04LG004",1984-02-07,"Flow",242,"B"
"04LG004",1984-02-08,"Flow",280,"B"
"04LG004",1984-02-09,"Flow",255,"B"
"04LG004",1984-02-10,"Flow",248,"B"
"04LG004",1984-02-11,"Flow",242,"B"
"04LG004",1984-02-12,"Flow",242,"B"
"04LG004",1984-02-13,"Flow",241,"B"
"04LG004",1984-02-14,"Flow",240,"B"
"04LG004",1984-02-15,"Flow",237,"B"
"04LG004",1984-02-16,"Flow",238,"B"
"04LG004",1984-02-17,"Flow",248,"B"
"04LG004",1984-02-18,"Flow",234,"B"
"04LG004",1984-02-19,"Flow",243,"B"
"04LG004",1984-02-20,"Flow",234,"B"
"04LG004",1984-02-21,"Flow",255,"B"
"04LG004",1984-02-22,"Flow",248,"B"
"04LG004",1984-02-23,"Flow",245,"B"
"04LG004",1984-02-24,"Flow",200,"B"
"04LG004",1984-02-25,"Flow",185,"B"
"04LG004",1984-02-26,"Flow",172,"B"
"04LG004",1984-02-27,"Flow",181,"B"
"04LG004",1984-02-28,"Flow",186,"B"
"04LG004",1984-02-29,"Flow",192,"B"
"04LG004",1984-03-01,"Flow",185,"B"
"04LG004",1984-03-02,"Flow",170,"B"
"04LG004",1984-03-03,"Flow",176,"B"
"04LG004",1984-03-04,"Flow",179,"B"
"04LG004",1984-03-05,"Flow",178,"B"
"04LG004",1984-03-06,"Flow",210,"B"
"04LG004",1984-03-07,"Flow",238,"B"
"04LG004",1984-03-08,"Flow",296,"B"
"04LG004",1984-03-09,"Flow",305,"B"
"04LG004",1984-03-10,"Flow",320,"B"
"04LG004",1984-03-11,"Flow",290,"B"
"04LG004",1984-03-12,"Flow",310,"B"
"04LG004",1984-03-13,"Flow",300,"B"
"04LG004",1984-03-14,"Flow",330,"B"
"04LG004",1984-03-15,"Flow",260,"B"
"04LG004",1984-03-16,"Flow",310,"B"
"04LG004",1984-03-17,"Flow",303,"B"
"04LG004",1984-03-18,"Flow",315,"B"
"04LG004",1984-03-19,"Flow",300,"B"
"04LG004",1984-03-20,"Flow",302,"B"
"04LG004",1984-03-21,"Flow",307,"B"
"04LG004",1984-03-22,"Flow",290,"B"
"04LG004",1984-03-23,"Flow",310,"B"
"04LG004",1984-03-24,"Flow",300,"B"
"04LG004",1984-03-25,"Flow",243,"B"
"04LG004",1984-03-26,"Flow",240,"B"
"04LG004",1984-03-27,"Flow",275,"B"
"04LG004",1984-03-28,"Flow",295,"B"
"04LG004",1984-03-29,"Flow",325,"B"
"04LG004",1984-03-30,"Flow",318,"B"
"04LG004",1984-03-31,"Flow",330,"B"
"04LG004",1984-04-01,"Flow",260,"B"
"04LG004",1984-04-02,"Flow",290,"B"
"04LG004",1984-04-03,"Flow",255,"B"
"04LG004",1984-04-04,"Flow",268,"B"
"04LG004",1984-04-05,"Flow",268,"B"
"04LG004",1984-04-06,"Flow",262,"B"
"04LG004",1984-04-07,"Flow",270,"B"
"04LG004",1984-04-08,"Flow",257,"B"
"04LG004",1984-04-09,"Flow",290,"B"
"04LG004",1984-04-10,"Flow",348,"B"
"04LG004",1984-04-11,"Flow",340,"B"
"04LG004",1984-04-12,"Flow",450,"B"
"04LG004",1984-04-13,"Flow",720,"B"
"04LG004",1984-04-14,"Flow",740,"B"
"04LG004",1984-04-15,"Flow",800,"B"
"04LG004",1984-04-16,"Flow",945,"B"
"04LG004",1984-04-17,"Flow",1650,"B"
"04LG004",1984-04-18,"Flow",2400,"B"
"04LG004",1984-04-19,"Flow",3000,"B"
"04LG004",1984-04-20,"Flow",3350,"B"
"04LG004",1984-04-21,"Flow",3690,NA
"04LG004",1984-04-22,"Flow",3700,NA
"04LG004",1984-04-23,"Flow",3610,NA
"04LG004",1984-04-24,"Flow",3640,NA
"04LG004",1984-04-25,"Flow",3770,NA
"04LG004",1984-04-26,"Flow",3800,NA
"04LG004",1984-04-27,"Flow",3750,NA
"04LG004",1984-04-28,"Flow",3730,NA
"04LG004",1984-04-29,"Flow",3540,NA
"04LG004",1984-04-30,"Flow",3340,NA
"04LG004",1984-05-01,"Flow",3230,NA
"04LG004",1984-05-02,"Flow",3410,NA
"04LG004",1984-05-03,"Flow",3560,NA
"04LG004",1984-05-04,"Flow",3380,NA
"04LG004",1984-05-05,"Flow",3190,NA
"04LG004",1984-05-06,"Flow",2820,NA
"04LG004",1984-05-07,"Flow",2550,NA
"04LG004",1984-05-08,"Flow",2230,NA
"04LG004",1984-05-09,"Flow",2050,NA
"04LG004",1984-05-10,"Flow",1950,NA
"04LG004",1984-05-11,"Flow",1950,NA
"04LG004",1984-05-12,"Flow",1830,NA
"04LG004",1984-05-13,"Flow",1770,NA
"04LG004",1984-05-14,"Flow",1660,NA
"04LG004",1984-05-15,"Flow",1500,NA
"04LG004",1984-05-16,"Flow",1350,NA
"04LG004",1984-05-17,"Flow",1310,NA
"04LG004",1984-05-18,"Flow",1230,NA
"04LG004",1984-05-19,"Flow",1130,NA
"04LG004",1984-05-20,"Flow",1060,NA
"04LG004",1984-05-21,"Flow",1010,NA
"04LG004",1984-05-22,"Flow",930,NA
"04LG004",1984-05-23,"Flow",890,NA
"04LG004",1984-05-24,"Flow",905,NA
"04LG004",1984-05-25,"Flow",913,NA
"04LG004",1984-05-26,"Flow",906,NA
"04LG004",1984-05-27,"Flow",879,NA
"04LG004",1984-05-28,"Flow",830,NA
"04LG004",1984-05-29,"Flow",867,NA
"04LG004",1984-05-30,"Flow",797,NA
"04LG004",1984-05-31,"Flow",736,NA
"04LG004",1984-06-01,"Flow",676,NA
"04LG004",1984-06-02,"Flow",587,NA
"04LG004",1984-06-03,"Flow",487,NA
"04LG004",1984-06-04,"Flow",485,NA
"04LG004",1984-06-05,"Flow",496,NA
"04LG004",1984-06-06,"Flow",456,NA
"04LG004",1984-06-07,"Flow",469,NA
"04LG004",1984-06-08,"Flow",475,NA
"04LG004",1984-06-09,"Flow",494,NA
"04LG004",1984-06-10,"Flow",567,NA
"04LG004",1984-06-11,"Flow",615,NA
"04LG004",1984-06-12,"Flow",993,NA
"04LG004",1984-06-13,"Flow",1240,NA
"04LG004",1984-06-14,"Flow",1400,NA
"04LG004",1984-06-15,"Flow",1310,NA
"04LG004",1984-06-16,"Flow",1430,NA
"04LG004",1984-06-17,"Flow",1410,NA
"04LG004",1984-06-18,"Flow",1350,NA
"04LG004",1984-06-19,"Flow",1380,NA
"04LG004",1984-06-20,"Flow",1420,NA
"04LG004",1984-06-21,"Flow",1250,NA
"04LG004",1984-06-22,"Flow",1050,NA
"04LG004",1984-06-23,"Flow",933,NA
"04LG004",1984-06-24,"Flow",897,NA
"04LG004",1984-06-25,"Flow",976,NA
"04LG004",1984-06-26,"Flow",1260,NA
"04LG004",1984-06-27,"Flow",2030,NA
"04LG004",1984-06-28,"Flow",2140,NA
"04LG004",1984-06-29,"Flow",2610,NA
"04LG004",1984-06-30,"Flow",3200,NA
"04LG004",1984-07-01,"Flow",3030,NA
"04LG004",1984-07-02,"Flow",2750,NA
"04LG004",1984-07-03,"Flow",2290,NA
"04LG004",1984-07-04,"Flow",1930,NA
"04LG004",1984-07-05,"Flow",1690,NA
"04LG004",1984-07-06,"Flow",1520,NA
"04LG004",1984-07-07,"Flow",1410,NA
"04LG004",1984-07-08,"Flow",1540,NA
"04LG004",1984-07-09,"Flow",2120,NA
"04LG004",1984-07-10,"Flow",2240,NA
"04LG004",1984-07-11,"Flow",1900,NA
"04LG004",1984-07-12,"Flow",1740,NA
"04LG004",1984-07-13,"Flow",1450,NA
"04LG004",1984-07-14,"Flow",1250,NA
"04LG004",1984-07-15,"Flow",1020,NA
"04LG004",1984-07-16,"Flow",1070,NA
"04LG004",1984-07-17,"Flow",1020,NA
"04LG004",1984-07-18,"Flow",1040,NA
"04LG004",1984-07-19,"Flow",895,NA
"04LG004",1984-07-20,"Flow",929,NA
"04LG004",1984-07-21,"Flow",880,NA
"04LG004",1984-07-22,"Flow",889,NA
"04LG004",1984-07-23,"Flow",858,NA
"04LG004",1984-07-24,"Flow",765,NA
"04LG004",1984-07-25,"Flow",693,NA
"04LG004",1984-07-26,"Flow",654,NA
"04LG004",1984-07-27,"Flow",632,NA
"04LG004",1984-07-28,"Flow",594,NA
"04LG004",1984-07-29,"Flow",552,NA
"04LG004",1984-07-30,"Flow",472,NA
"04LG004",1984-07-31,"Flow",483,NA
"04LG004",1984-08-01,"Flow",480,NA
"04LG004",1984-08-02,"Flow",562,NA
"04LG004",1984-08-03,"Flow",527,NA
"04LG004",1984-08-04,"Flow",594,NA
"04LG004",1984-08-05,"Flow",561,NA
"04LG004",1984-08-06,"Flow",496,NA
